"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+005, -5.56614909436E+000, +0.00000000000E+000
+1.05000000000E+005, -4.72303482866E+000, +0.00000000000E+000
+1.10000000000E+005, -3.92924648797E+000, +0.00000000000E+000
+1.15000000000E+005, -3.21751717503E+000, +0.00000000000E+000
+1.20000000000E+005, -2.49056966576E+000, +0.00000000000E+000
+1.25000000000E+005, -1.84129301222E+000, +0.00000000000E+000
+1.30000000000E+005, -1.25094272330E+000, +0.00000000000E+000
+1.35000000000E+005, -6.79382090081E-001, +0.00000000000E+000
+1.40000000000E+005, -1.67935865404E-001, +0.00000000000E+000
+1.45000000000E+005, +3.13078998479E-001, +0.00000000000E+000
+1.50000000000E+005, +8.08815114752E-001, +0.00000000000E+000
+1.55000000000E+005, +1.22459124914E+000, +0.00000000000E+000
+1.60000000000E+005, +1.63144484345E+000, +0.00000000000E+000
+1.65000000000E+005, +2.02035831149E+000, +0.00000000000E+000
+1.70000000000E+005, +2.38965174539E+000, +0.00000000000E+000
+1.75000000000E+005, +2.73287204638E+000, +0.00000000000E+000
+1.80000000000E+005, +3.07024470959E+000, +0.00000000000E+000
+1.85000000000E+005, +3.36723106001E+000, +0.00000000000E+000
+1.90000000000E+005, +3.69283145024E+000, +0.00000000000E+000
+1.95000000000E+005, +3.97916565239E+000, +0.00000000000E+000
+2.00000000000E+005, +4.25772341477E+000, +0.00000000000E+000
+2.05000000000E+005, +4.50571853721E+000, +0.00000000000E+000
+2.10000000000E+005, +4.76654565069E+000, +0.00000000000E+000
+2.15000000000E+005, +4.99612661366E+000, +0.00000000000E+000
+2.20000000000E+005, +5.21691351182E+000, +0.00000000000E+000
+2.25000000000E+005, +5.45475980509E+000, +0.00000000000E+000
+2.30000000000E+005, +5.63776051670E+000, +0.00000000000E+000
+2.35000000000E+005, +5.86308598780E+000, +0.00000000000E+000
+2.40000000000E+005, +6.05031567892E+000, +0.00000000000E+000
+2.45000000000E+005, +6.23949848649E+000, +0.00000000000E+000
+2.50000000000E+005, +6.43389241400E+000, +0.00000000000E+000
+2.55000000000E+005, +6.58544553407E+000, +0.00000000000E+000
+2.60000000000E+005, +6.77163132227E+000, +0.00000000000E+000
+2.65000000000E+005, +6.93225283688E+000, +0.00000000000E+000
+2.70000000000E+005, +7.08592957031E+000, +0.00000000000E+000
+2.75000000000E+005, +7.22818667796E+000, +0.00000000000E+000
+2.80000000000E+005, +7.37079539354E+000, +0.00000000000E+000
+2.85000000000E+005, +7.51577587772E+000, +0.00000000000E+000
+2.90000000000E+005, +7.65854083032E+000, +0.00000000000E+000
+2.95000000000E+005, +7.78239791039E+000, +0.00000000000E+000
+3.00000000000E+005, +7.91825547777E+000, +0.00000000000E+000
+3.05000000000E+005, +8.03349218446E+000, +0.00000000000E+000
+3.10000000000E+005, +8.14999827656E+000, +0.00000000000E+000
+3.15000000000E+005, +8.26291718124E+000, +0.00000000000E+000
+3.20000000000E+005, +8.37117944591E+000, +0.00000000000E+000
+3.25000000000E+005, +8.49118914125E+000, +0.00000000000E+000
+3.30000000000E+005, +8.59477914844E+000, +0.00000000000E+000
+3.35000000000E+005, +8.69822503836E+000, +0.00000000000E+000
+3.40000000000E+005, +8.79204423356E+000, +0.00000000000E+000
+3.45000000000E+005, +8.87929387273E+000, +0.00000000000E+000
+3.50000000000E+005, +8.96661377235E+000, +0.00000000000E+000
+3.55000000000E+005, +9.07372649316E+000, +0.00000000000E+000
+3.60000000000E+005, +9.16510283859E+000, +0.00000000000E+000
+3.65000000000E+005, +9.23281345281E+000, +0.00000000000E+000
+3.70000000000E+005, +9.32271845551E+000, +0.00000000000E+000
+3.75000000000E+005, +9.40050179246E+000, +0.00000000000E+000
+3.80000000000E+005, +9.49239382717E+000, +0.00000000000E+000
+3.85000000000E+005, +9.55549671057E+000, +0.00000000000E+000
+3.90000000000E+005, +9.64251951743E+000, +0.00000000000E+000
+3.95000000000E+005, +9.71029567948E+000, +0.00000000000E+000
+4.00000000000E+005, +9.78497595445E+000, +0.00000000000E+000
+4.05000000000E+005, +9.84349868708E+000, +0.00000000000E+000
+4.10000000000E+005, +9.92033361861E+000, +0.00000000000E+000
+4.15000000000E+005, +9.99399457464E+000, +0.00000000000E+000
+4.20000000000E+005, +1.00430669672E+001, +0.00000000000E+000
+4.25000000000E+005, +1.01058455604E+001, +0.00000000000E+000
+4.30000000000E+005, +1.01668376195E+001, +0.00000000000E+000
+4.35000000000E+005, +1.02141758652E+001, +0.00000000000E+000
+4.40000000000E+005, +1.02906400282E+001, +0.00000000000E+000
+4.45000000000E+005, +1.03384172000E+001, +0.00000000000E+000
+4.50000000000E+005, +1.03944615042E+001, +0.00000000000E+000
+4.55000000000E+005, +1.04622083458E+001, +0.00000000000E+000
+4.60000000000E+005, +1.04985630121E+001, +0.00000000000E+000
+4.65000000000E+005, +1.05516375548E+001, +0.00000000000E+000
+4.70000000000E+005, +1.05977245507E+001, +0.00000000000E+000
