"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+7.00000000000E+007, +1.17306201383E+001, +0.00000000000E+000
+7.01250000000E+007, +1.17227361728E+001, +0.00000000000E+000
+7.02500000000E+007, +1.17057004368E+001, +0.00000000000E+000
+7.03750000000E+007, +1.17027658926E+001, +0.00000000000E+000
+7.05000000000E+007, +1.16774275832E+001, +0.00000000000E+000
+7.06250000000E+007, +1.16643647399E+001, +0.00000000000E+000
+7.07500000000E+007, +1.16609841698E+001, +0.00000000000E+000
+7.08750000000E+007, +1.16451914673E+001, +0.00000000000E+000
+7.10000000000E+007, +1.16303213655E+001, +0.00000000000E+000
+7.11250000000E+007, +1.16167018587E+001, +0.00000000000E+000
+7.12500000000E+007, +1.16127811403E+001, +0.00000000000E+000
+7.13750000000E+007, +1.15959315452E+001, +0.00000000000E+000
+7.15000000000E+007, +1.15843661024E+001, +0.00000000000E+000
+7.16250000000E+007, +1.15692463690E+001, +0.00000000000E+000
+7.17500000000E+007, +1.15631445647E+001, +0.00000000000E+000
+7.18750000000E+007, +1.15481140641E+001, +0.00000000000E+000
+7.20000000000E+007, +1.15316915012E+001, +0.00000000000E+000
+7.21250000000E+007, +1.15230015599E+001, +0.00000000000E+000
+7.22500000000E+007, +1.15125417138E+001, +0.00000000000E+000
+7.23750000000E+007, +1.15029555280E+001, +0.00000000000E+000
+7.25000000000E+007, +1.14896701101E+001, +0.00000000000E+000
+7.26250000000E+007, +1.14789938975E+001, +0.00000000000E+000
+7.27500000000E+007, +1.14778315687E+001, +0.00000000000E+000
+7.28750000000E+007, +1.14603431298E+001, +0.00000000000E+000
+7.30000000000E+007, +1.14541664842E+001, +0.00000000000E+000
+7.31250000000E+007, +1.14462327424E+001, +0.00000000000E+000
+7.32500000000E+007, +1.14307122446E+001, +0.00000000000E+000
+7.33750000000E+007, +1.14232821758E+001, +0.00000000000E+000
+7.35000000000E+007, +1.14139345459E+001, +0.00000000000E+000
+7.36250000000E+007, +1.14074712311E+001, +0.00000000000E+000
+7.37500000000E+007, +1.13889747035E+001, +0.00000000000E+000
+7.38750000000E+007, +1.13844453346E+001, +0.00000000000E+000
+7.40000000000E+007, +1.13859196175E+001, +0.00000000000E+000
+7.41250000000E+007, +1.13778522546E+001, +0.00000000000E+000
+7.42500000000E+007, +1.13678880686E+001, +0.00000000000E+000
+7.43750000000E+007, +1.13450398203E+001, +0.00000000000E+000
+7.45000000000E+007, +1.13460042888E+001, +0.00000000000E+000
+7.46250000000E+007, +1.13400682307E+001, +0.00000000000E+000
+7.47500000000E+007, +1.13289790939E+001, +0.00000000000E+000
+7.48750000000E+007, +1.13058954758E+001, +0.00000000000E+000
+7.50000000000E+007, +1.13208625268E+001, +0.00000000000E+000
+7.51250000000E+007, +1.13111095213E+001, +0.00000000000E+000
+7.52500000000E+007, +1.12904431316E+001, +0.00000000000E+000
+7.53750000000E+007, +1.13027769323E+001, +0.00000000000E+000
+7.55000000000E+007, +1.12885813199E+001, +0.00000000000E+000
+7.56250000000E+007, +1.12711735897E+001, +0.00000000000E+000
+7.57500000000E+007, +1.12794735306E+001, +0.00000000000E+000
+7.58750000000E+007, +1.12749223146E+001, +0.00000000000E+000
+7.60000000000E+007, +1.12532385318E+001, +0.00000000000E+000
+7.61250000000E+007, +1.12582617297E+001, +0.00000000000E+000
+7.62500000000E+007, +1.12552568465E+001, +0.00000000000E+000
+7.63750000000E+007, +1.12413862566E+001, +0.00000000000E+000
+7.65000000000E+007, +1.12345650365E+001, +0.00000000000E+000
+7.66250000000E+007, +1.12320799196E+001, +0.00000000000E+000
+7.67500000000E+007, +1.12310819011E+001, +0.00000000000E+000
